model,threshold,roc_auc,pr_auc,lift_at_10,top_10_bad_review_rate,accuracy,precision,recall,f1,predicted_positive_share,predicted_positive_orders,test_orders,test_bad_review_rate
Logistic Regression,0.3,0.6491396636456042,0.34386714004053465,2.6538542932190428,0.4400647948164147,0.8373097268703443,0.5242070116861436,0.20442708333333334,0.29414519906323183,0.06466587498650544,1198,18526,0.16582100831264168
CatBoost,0.3,0.6498747079706981,0.3639773403265935,2.6831606596472284,0.4449244060475162,0.8418978732592033,0.5656565656565656,0.20052083333333334,0.2960826724345109,0.058782251970204036,1089,18526,0.16582100831264168
